LONCOL,LATCOL,vehicleNum,time,geometry
29,44,1,2007-02-19 06:57:00,"POLYGON ((121.51996091657128 31.278240930591757, 121.52206480838079 31.278240930591757, 121.52206480838079 31.280039572674326, 121.51996091657128 31.280039572674326, 121.51996091657128 31.278240930591757))"
29,44,1,2007-02-19 06:58:00,"POLYGON ((121.51996091657128 31.278240930591757, 121.52206480838079 31.278240930591757, 121.52206480838079 31.280039572674326, 121.51996091657128 31.280039572674326, 121.51996091657128 31.278240930591757))"
30,45,1,2007-02-19 06:59:00,"POLYGON ((121.52206480838079 31.280039572674326, 121.52416870019032 31.280039572674326, 121.52416870019032 31.281838214756895, 121.52206480838079 31.281838214756895, 121.52206480838079 31.280039572674326))"
32,46,1,2007-02-19 07:00:00,"POLYGON ((121.52627259199983 31.281838214756895, 121.52837648380935 31.281838214756895, 121.52837648380935 31.283636856839465, 121.52627259199983 31.283636856839465, 121.52627259199983 31.281838214756895))"
33,46,1,2007-02-19 07:01:00,"POLYGON ((121.52837648380935 31.281838214756895, 121.53048037561886 31.281838214756895, 121.53048037561886 31.283636856839465, 121.52837648380935 31.283636856839465, 121.52837648380935 31.281838214756895))"
33,46,1,2007-02-19 07:02:00,"POLYGON ((121.52837648380935 31.281838214756895, 121.53048037561886 31.281838214756895, 121.53048037561886 31.283636856839465, 121.52837648380935 31.283636856839465, 121.52837648380935 31.281838214756895))"
33,46,1,2007-02-19 07:03:00,"POLYGON ((121.52837648380935 31.281838214756895, 121.53048037561886 31.281838214756895, 121.53048037561886 31.283636856839465, 121.52837648380935 31.283636856839465, 121.52837648380935 31.281838214756895))"
37,50,2,2007-02-19 07:04:00,"POLYGON ((121.53679205104743 31.289032783087173, 121.53889594285695 31.289032783087173, 121.53889594285695 31.290831425169742, 121.53679205104743 31.290831425169742, 121.53679205104743 31.289032783087173))"
37,50,2,2007-02-19 07:05:00,"POLYGON ((121.53679205104743 31.289032783087173, 121.53889594285695 31.289032783087173, 121.53889594285695 31.290831425169742, 121.53679205104743 31.290831425169742, 121.53679205104743 31.289032783087173))"
37,50,2,2007-02-19 07:06:00,"POLYGON ((121.53679205104743 31.289032783087173, 121.53889594285695 31.289032783087173, 121.53889594285695 31.290831425169742, 121.53679205104743 31.290831425169742, 121.53679205104743 31.289032783087173))"
37,50,2,2007-02-19 07:07:00,"POLYGON ((121.53679205104743 31.289032783087173, 121.53889594285695 31.289032783087173, 121.53889594285695 31.290831425169742, 121.53679205104743 31.290831425169742, 121.53679205104743 31.289032783087173))"
38,51,1,2007-02-19 07:08:00,"POLYGON ((121.53889594285695 31.290831425169742, 121.54099983466647 31.290831425169742, 121.54099983466647 31.29263006725231, 121.53889594285695 31.29263006725231, 121.53889594285695 31.290831425169742))"
